scientificName,decimalLongitude,decimalLatitude
Desmophyllum pertusum,-79.73000336,30.43000031
Desmophyllum pertusum,6.274599606,65.80037794
Desmophyllum pertusum,-8,48
Desmophyllum pertusum,-11.72000027,51.49000168
Desmophyllum pertusum,-79.61596,28.77703
Desmophyllum pertusum,9.374,65.1142
Desmophyllum pertusum,-79.58999634,27.20999908
Desmophyllum pertusum,-11.77000046,51.41999817
Desmophyllum pertusum,-79.76644,28.38887
Desmophyllum pertusum,14.3343527,68.9352332
Desmophyllum pertusum,-79.61533,28.04074
Desmophyllum pertusum,-15.52999973,55.61000061
Desmophyllum pertusum,-26.79999924,38.11000061
Desmophyllum pertusum,22.4757,70.2688
Desmophyllum pertusum,-79.6217,28.79204
Desmophyllum pertusum,6.5967,64.6153
Desmophyllum pertusum,-84.57892,25.63464
Desmophyllum pertusum,-79.75104,28.32223
Desmophyllum pertusum,-79.03,31.73
Desmophyllum pertusum,-8.659999847,61
Desmophyllum pertusum,-7.139999866,35.50999832
Desmophyllum pertusum,9.079999924,67.37000275
Desmophyllum pertusum,5.78000021,64.51000214
Desmophyllum pertusum,7.909999847,64.18000031
Desmophyllum pertusum,-22.90999985,15.89999962
Desmophyllum pertusum,-93.5854,27.42731
Desmophyllum pertusum,-121.96737,36.83278
Desmophyllum pertusum,5.1,60.4075
Desmophyllum pertusum,14.43923536,68.90423139
Desmophyllum pertusum,10.7875,59.1134
Desmophyllum pertusum,-88.37972,29.07373
Desmophyllum pertusum,-14.48999977,57.61000061
Desmophyllum pertusum,5.539999962,59.59000015
Desmophyllum pertusum,-79.75109,28.32214
Desmophyllum pertusum,-12.63000011,60.72999954
Desmophyllum pertusum,77.58999634,-38.81000137
Desmophyllum pertusum,6.699999809,62.95999908
Desmophyllum pertusum,4.95,62.75
Desmophyllum pertusum,6.420000076,64.90000153
Desmophyllum pertusum,-119.13867,33.70941
Desmophyllum pertusum,9.792325,63.659588
Desmophyllum pertusum,9.426197,67.425976
Desmophyllum pertusum,11.11999989,66.95999908
Desmophyllum pertusum,7.949999809,65.75
Desmophyllum pertusum,-84.7595,26.33483
Desmophyllum pertusum,-26.82999992,38.51499939
Desmophyllum pertusum,5.468433333,59.94186667
Desmophyllum pertusum,-10.46000004,60.43000031
Desmophyllum pertusum,-88.01633,29.15636
Desmophyllum pertusum,-79.66038,30.51484
Desmophyllum pertusum,8.0657,64.0918
Desmophyllum pertusum,5.25,63.22000122
Desmophyllum pertusum,14.39614576,68.91717476
Desmophyllum pertusum,-9.880000114,60.81000137
Desmophyllum pertusum,7.9378,64.0467
Desmophyllum pertusum,5.7325,60.6543
Desmophyllum pertusum,8.579999924,67.01000214
Desmophyllum pertusum,6.610000134,64.61000061
Desmophyllum pertusum,-79.33332825,27.05500031
Desmophyllum pertusum,-79.61391,28.03963
Desmophyllum pertusum,8.159999847,64.12999725
Desmophyllum pertusum,-79.75164,28.32067
Desmophyllum pertusum,-16.03000069,25.52000046
Desmophyllum pertusum,9.949999809,63.47999954
Desmophyllum pertusum,-13.28999996,57.5
Desmophyllum pertusum,-88.01643,29.15613
Desmophyllum pertusum,9.510000229,63.61000061
Desmophyllum pertusum,-43.83000183,-24.28000069
Desmophyllum pertusum,-11.77000046,51.41999817
Desmophyllum pertusum,5.6495,63.718
Desmophyllum pertusum,-79.62382,28.79392
Desmophyllum pertusum,-9.909999847,32.45000076
Desmophyllum pertusum,-84.72973,26.20475
Desmophyllum pertusum,-5,46
Desmophyllum pertusum,-15.41499996,25.98999977
Desmophyllum pertusum,-79.61544,28.32414
Desmophyllum pertusum,-119.47257,33.91966
Desmophyllum pertusum,-125.01127,48.24295
Desmophyllum pertusum,7.099999905,63.36000061
Desmophyllum pertusum,-6.449999809,59.93000031
Desmophyllum pertusum,10.75,66.86000061
Desmophyllum pertusum,-16.54999924,32.43000031
Desmophyllum pertusum,-84.73126,26.18666
Desmophyllum pertusum,14.39026111,68.93781121
Desmophyllum pertusum,-8,48
Desmophyllum pertusum,6,65.52999878
Desmophyllum pertusum,-12.9333334,60.34999847
Desmophyllum pertusum,-79.0833,31.9
Desmophyllum pertusum,7.550000191,43.54000092
Desmophyllum pertusum,3.613675,62.67285
Desmophyllum pertusum,10.50398551,63.60450199
Desmophyllum pertusum,8.699999809,65.16000366
Desmophyllum pertusum,-66.75,40.70000076
Desmophyllum pertusum,-13.10999966,57.50999832
Desmophyllum pertusum,-28.98999977,37.52000046
Desmophyllum pertusum,-4,46
Desmophyllum pertusum,6.4972,65.1296
Desmophyllum pertusum,-28.60000038,60.59000015
Desmophyllum pertusum,-79.08332825,31.89999962
Desmophyllum pertusum,-11.55,29.22166667
Desmophyllum pertusum,-84.57188,25.63336
Desmophyllum pertusum,-12.47999954,-37.41999817
Desmophyllum pertusum,-10.30916595,60.37249947
Desmophyllum pertusum,8.010000229,64.05999756
Desmophyllum pertusum,-125.01122,48.243
Desmophyllum pertusum,10.502,63.5472
Desmophyllum pertusum,-84.77803,26.46664
Desmophyllum pertusum,5.989999771,62.79999924
Desmophyllum pertusum,-79.75164,28.32067
Desmophyllum pertusum,-88.93846893,23.25479317
Desmophyllum pertusum,-11.69999981,51.43000031
Desmophyllum pertusum,-25.5,37.79999924
Desmophyllum pertusum,-11.72999954,60.61000061
Desmophyllum pertusum,11.03943,58.69593
Desmophyllum pertusum,-27.95363,38.95797
Desmophyllum pertusum,14.3862636,68.92427927
Desmophyllum pertusum,-79.84999847,25.70000076
Desmophyllum pertusum,10.9612,58.9977
Desmophyllum pertusum,-8.239999771,61.52500153
Desmophyllum pertusum,9.600000381,43.22499847
Desmophyllum pertusum,9.270283,67.468614
Desmophyllum pertusum,-79.61386,28.03999
Desmophyllum pertusum,14.403,68.9282
Desmophyllum pertusum,6.329999924,-26.14999962
Desmophyllum pertusum,-12.13000011,52.06000137
Desmophyllum pertusum,-88.01058,29.17031
Desmophyllum pertusum,30.90999985,70.65000153
Desmophyllum pertusum,-119.47406,33.92027
Desmophyllum pertusum,-13.40999985,58.15999985
Desmophyllum pertusum,-79.62468,28.79414
Desmophyllum pertusum,-119.13259,33.70707
Desmophyllum pertusum,-14.69499969,57.24499893
Desmophyllum pertusum,-21.79999924,63.13999939
Desmophyllum pertusum,117.613327,21.70166969
Desmophyllum pertusum,14.37967735,68.93708993
Desmophyllum pertusum,-79.72348,28.45859
Desmophyllum pertusum,-7,47
Desmophyllum pertusum,-79.43000031,30.72999954
Desmophyllum pertusum,8.0257,64.0797
Desmophyllum pertusum,-79.58000183,27.65999985
Desmophyllum pertusum,-14.13000011,57.70000076
Desmophyllum pertusum,7.460000038,63.11000061
Desmophyllum pertusum,3.710000038,62.56999969
Desmophyllum pertusum,-79.61614,28.77592
Desmophyllum pertusum,-176.6600037,-12.55000019
Desmophyllum pertusum,-25.38999939,37.91999817
