scientificName,decimalLongitude,decimalLatitude
Desmophyllum dianthus,170.1000061,-33.54999924
Desmophyllum dianthus,-119.48879,33.92185
Desmophyllum dianthus,-178.5,-30.55999947
Desmophyllum dianthus,-49.23329926,-49.71670151
Desmophyllum dianthus,-29.134,37.86
Desmophyllum dianthus,-119.47786,33.92006
Desmophyllum dianthus,-168.1100006,-38.45000076
Desmophyllum dianthus,-72.44999695,-42.34000015
Desmophyllum dianthus,-119.47873,33.9203
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum dianthus,-119.47333,33.92137
Desmophyllum dianthus,-1.899999976,35.90000153
Desmophyllum dianthus,-174.358333,-43.82
Desmophyllum dianthus,176.4799957,-37.36999893
Desmophyllum dianthus,158.7599945,-56.68000031
Desmophyllum dianthus,170.061661,-20.971666
Desmophyllum dianthus,178.4478,-35.8573
Desmophyllum dianthus,-167.15517,24.52448
Desmophyllum dianthus,-127.8300018,32.36000061
Desmophyllum dianthus,-81.94999695,23.89999962
Desmophyllum dianthus,117.613327,21.70166969
Desmophyllum dianthus,-9.710000038,39.70000076
Desmophyllum dianthus,-55.65999985,44.86000061
Desmophyllum dianthus,-118.4038,32.71293
Desmophyllum dianthus,174.8000031,-41.34000015
Desmophyllum dianthus,179.5828333,-43.35766667
Desmophyllum dianthus,-119.47467,33.91853
Desmophyllum dianthus,-64.75,32.33300018
Desmophyllum dianthus,3.369999886,40.40000153
Desmophyllum dianthus,-118.40342,32.71238
Desmophyllum dianthus,-12.65999985,29.81999969
Desmophyllum dianthus,-176.8136667,-44.73533333
Desmophyllum dianthus,129.3300018,31.65999985
Desmophyllum dianthus,178.1300049,-39.99000168
Desmophyllum dianthus,-117.80228,32.74277
Desmophyllum dianthus,167.8099976,-51.09999847
Desmophyllum dianthus,-117.41518,32.64797
Desmophyllum dianthus,-73.68332672,-51.8666687
Desmophyllum dianthus,-55.61000061,44.86000061
Desmophyllum dianthus,-119.1389,33.70931
Desmophyllum dianthus,-117.98652,32.65265
Desmophyllum dianthus,-66.33935,41.0389
Desmophyllum dianthus,147.470115,-44.233535
Desmophyllum dianthus,179.5299988,-43.47999954
Desmophyllum dianthus,-72.66872406,-41.63899994
Desmophyllum dianthus,-72.44999695,-42.38999939
Desmophyllum dianthus,-9.930000305,39.58000183
Desmophyllum dianthus,167.8600006,-44.63000107
Desmophyllum dianthus,-119.4726,33.91961
Desmophyllum dianthus,-1.929999948,36.11999893
Desmophyllum dianthus,-179.9282,-42.7653
Desmophyllum dianthus,-119.48437,33.95725
Desmophyllum dianthus,-74.22499847,-51.20000076
Desmophyllum dianthus,-174.724833,-44.142833
Desmophyllum dianthus,-3.539999962,45.63000107
Desmophyllum dianthus,-27.64999962,32.38000107
Desmophyllum dianthus,-73.5667038,-47.81669998
Desmophyllum dianthus,-178.65,-44.45
Desmophyllum dianthus,179.8575,-42.8285
Desmophyllum dianthus,-119.30107,34.0382
Desmophyllum dianthus,151.39166,-34.35
Desmophyllum dianthus,-177.8466949,-29.19829941
Desmophyllum dianthus,-119.48346,33.91894
Desmophyllum dianthus,-175,-44.5
Desmophyllum dianthus,-119.4771,33.91873
Desmophyllum dianthus,-119.48542,33.9214
Desmophyllum dianthus,-69.73000336,39.77999878
Desmophyllum dianthus,-73.68332672,-51.8666687
Desmophyllum dianthus,-119.47938,33.92047
Desmophyllum dianthus,167.6767,-50.6967
Desmophyllum dianthus,167.8200073,-44.59999847
Desmophyllum dianthus,176.1999969,-44.09999847
Desmophyllum dianthus,-117.41543,32.64757
Desmophyllum dianthus,-86.87680817,29.92892647
Desmophyllum dianthus,-177.8500061,-29.20000076
Desmophyllum dianthus,-72.61000061,-42.54000092
Desmophyllum dianthus,-32.43000031,57.88000107
Desmophyllum dianthus,150.322,-43.806
Desmophyllum dianthus,179.5399933,-43.47999954
Desmophyllum dianthus,159.1305,-53.71516667
Desmophyllum dianthus,-164.419,-41.3646667
Desmophyllum dianthus,-117,32
Desmophyllum dianthus,177.8385,-36.4472
Desmophyllum dianthus,-3.910000086,45.77999878
Desmophyllum dianthus,150.116,-37.066
Desmophyllum dianthus,-175.3332977,-43.86669922
Desmophyllum dianthus,-127.7900009,32.43000031
Desmophyllum dianthus,-10.77000046,31.71999931
Desmophyllum dianthus,-83.1833,24
Desmophyllum dianthus,-72.58000183,-42.54999924
Desmophyllum dianthus,150.116,-37.066
Desmophyllum dianthus,-117.43587,32.61435
Desmophyllum dianthus,-28.38999939,38.38000107
Desmophyllum dianthus,-79.62000275,26.37999916
Desmophyllum dianthus,-63.58000183,-54.04999924
Desmophyllum dianthus,158.4265,-55.38116667
Desmophyllum dianthus,168.933333,-43.215
Desmophyllum dianthus,178.5342,-35.3648
Desmophyllum dianthus,-178.4299927,-30.68000031
Desmophyllum dianthus,-73.0603,38.4603
Desmophyllum dianthus,-119.47218,33.91869
Desmophyllum dianthus,-117,32
Desmophyllum dianthus,-178.221833,-43.5005
Desmophyllum dianthus,-67,40
Desmophyllum dianthus,-89.26678467,23.78121567
Desmophyllum dianthus,-117.44598,32.63085
Desmophyllum dianthus,-178.586667,-44.461667
Desmophyllum dianthus,-74.87999725,-50.54999924
Desmophyllum dianthus,-174,-44.3
Desmophyllum dianthus,-119.483,33.91863
Desmophyllum dianthus,176.8099976,-36.15999985
Desmophyllum dianthus,176.233307,-44.323299
Desmophyllum dianthus,167.4499969,-48.72000122
Desmophyllum dianthus,158.4278333,-55.36166667
Desmophyllum dianthus,-81.16000366,23.97999954
Desmophyllum dianthus,177.448,-36.828333
Desmophyllum dianthus,13.15999985,36.84000015
Desmophyllum dianthus,-59.2417,-49.7
Desmophyllum dianthus,-89.80999756,-1.309999943
Desmophyllum dianthus,78.33999634,-39.43000031
Desmophyllum dianthus,-178.221833,-43.5005
Desmophyllum dianthus,-72.6517,38.7633
Desmophyllum dianthus,-167.24543,24.53223
Desmophyllum dianthus,-167.21825,24.4777
Desmophyllum dianthus,146.16296,-44.2467
Desmophyllum dianthus,-167.15517,24.52448
Desmophyllum dianthus,-117.79246,32.74264
Desmophyllum dianthus,-177.8500061,-29.20000076
Desmophyllum dianthus,176.812667,-43.357833
Desmophyllum dianthus,-90.88749695,-0.174999997
Desmophyllum dianthus,-119.47508,33.92121
Desmophyllum dianthus,-119.5084,33.96304
Desmophyllum dianthus,-13.05000019,52.38000107
Desmophyllum dianthus,-117.79609,32.74267
Desmophyllum dianthus,-119.47539,33.91853
Desmophyllum dianthus,-119.48272,33.91841
Desmophyllum dianthus,-125.0147781,48.25983047
Desmophyllum dianthus,-164.419,-41.3646667
Desmophyllum dianthus,167.820007,-44.6017
Desmophyllum dianthus,179.4528351,-43.4058342
Desmophyllum dianthus,-119.48487,33.92022
Desmophyllum dianthus,150.0500031,-37.20000076
Desmophyllum dianthus,167.25,-26.40999985
Desmophyllum dianthus,163.474167,-50.097167
Desmophyllum dianthus,-130.8300018,46.66999817
Desmophyllum dianthus,174.46,-48.31833
Desmophyllum dianthus,163.4741667,-50.09716667
Desmophyllum dianthus,-119.30247,34.03887
Desmophyllum dianthus,179.1928333,-43.3715
Desmophyllum dianthus,-79.23000336,7.53000021
Desmophyllum dianthus,170.9100037,-33.63000107
Desmophyllum dianthus,-119.49782,32.56101
Desmophyllum dianthus,174.4700012,-41.47000122
Desmophyllum dianthus,-72.66889954,-41.63819885
Desmophyllum dianthus,176.5075,-36.5045
Desmophyllum dianthus,-3.619999886,43.70000076
Desmophyllum dianthus,-7.480000019,47.64833069
Desmophyllum dianthus,-119.48876,33.92188
Desmophyllum dianthus,172.3583069,-39.05849838
Desmophyllum dianthus,148.6499939,-41.97999954
Desmophyllum dianthus,-119.21277,33.54694
Desmophyllum dianthus,150.4799957,-43.77999878
Desmophyllum dianthus,-117.44579,32.63113
Desmophyllum dianthus,147.11647,-44.32616
Desmophyllum dianthus,175.3300018,-43.86000061
Desmophyllum dianthus,-87.16388702,5.408329964
Desmophyllum dianthus,178.586667,-44.461667
Desmophyllum dianthus,-119.3575,32.89891
Desmophyllum dianthus,179.058304,-37.474998
Desmophyllum dianthus,167.6799927,-50.68000031
Desmophyllum dianthus,-119.48387,33.96177
Desmophyllum dianthus,-119.45879,33.9538
Desmophyllum dianthus,-72.07,39.37
Desmophyllum dianthus,-13.97000027,63.95000076
Desmophyllum dianthus,-72.69000244,-44.72000122
Desmophyllum dianthus,172.8500061,-40.50999832
Desmophyllum dianthus,-9.321666667,33.575
Desmophyllum dianthus,176.2299957,-44.31000137
Desmophyllum dianthus,-119.47696,33.91871
Desmophyllum dianthus,3.920000076,40.36000061
Desmophyllum dianthus,176.983667,-37.1836667
Desmophyllum dianthus,146.9799957,-44.20000076
Desmophyllum dianthus,-30.22999954,34.15000153
Desmophyllum dianthus,-11.72000027,51.36999893
Desmophyllum dianthus,151.4299927,-34.29999924
Desmophyllum dianthus,-7.079999924,47.56000137
Desmophyllum dianthus,-119.47801,33.96031
Desmophyllum dianthus,-77,32
Desmophyllum dianthus,32.65000153,33.63000107
Desmophyllum dianthus,167.6333008,-50.63330078
Desmophyllum dianthus,15.07999992,-28.79999924
Desmophyllum dianthus,147.9,-39.85
Desmophyllum dianthus,-26.824,40.342
Desmophyllum dianthus,167.41,-22.44167
Desmophyllum dianthus,-74.87999725,-50.54999924
Desmophyllum dianthus,133.7599945,-35.11000061
Desmophyllum dianthus,140.3300018,-38.31000137
Desmophyllum dianthus,-84.71572113,26.79913521
Desmophyllum dianthus,-11.77000046,51.41999817
Desmophyllum dianthus,176.2299957,-40.90000153
Desmophyllum dianthus,-175.333298,-43.866699
Desmophyllum dianthus,168.279999,-23.754999
Desmophyllum dianthus,-72.41999817,-42.38999939
Desmophyllum dianthus,158.4799957,-56.31000137
Desmophyllum dianthus,-90.31999969,0.065279998
Desmophyllum dianthus,176.177333,-43.588167
Desmophyllum dianthus,-28.26,38.66
Desmophyllum dianthus,149.833,-39.15
Desmophyllum dianthus,176,-41.70000076
Desmophyllum dianthus,167.25,-22.188334
Desmophyllum dianthus,167.8600006,-44.61999893
Desmophyllum dianthus,158.9170074,-53.91699982
Desmophyllum dianthus,44.90999985,-33.27999878
Desmophyllum dianthus,-117.3799973,32.75999832
Desmophyllum dianthus,-90.31999969,0.059999999
Desmophyllum dianthus,-73.11000061,-43.97000122
Desmophyllum dianthus,-179.9225,-42.669667
Desmophyllum dianthus,-156.66007,20.48685
Desmophyllum dianthus,167.6699982,-50.68999863
Desmophyllum dianthus,-174.69,-44.14733333
